2010-01-04,132.45
2010-01-05,130.85
2010-01-06,130
2010-01-07,129.55
2010-01-08,130.85
2010-01-11,129.48
2010-01-12,130.51
2010-01-13,130.23
2010-01-14,132.31
2010-01-15,131.78
2010-01-19,134.14
2010-01-20,130.25
2010-01-21,129
2010-01-22,125.5
2010-01-25,126.12
2010-01-26,125.75
2010-01-27,126.33
2010-01-28,123.75
2010-01-29,122.39
2010-02-01,124.67
2010-02-02,125.53
2010-02-03,125.66
2010-02-04,123
2010-02-05,123.52
2010-02-08,121.88
2010-02-09,123.21
2010-02-10,122.81
2010-02-11,123.73
2010-02-12,124
2010-02-16,125.23
2010-02-17,126.33
2010-02-18,127.81
2010-02-19,127.19
2010-02-22,126.85
2010-02-23,126.46
2010-02-24,127.59
2010-02-25,127.07
2010-02-26,127.16
2010-03-01,128.57
2010-03-02,127.42
2010-03-03,126.88
2010-03-04,126.72
2010-03-05,127.25
2010-03-08,126.41
2010-03-09,125.55
2010-03-10,125.62
2010-03-11,127.6
2010-03-12,127.94
2010-03-15,127.83
2010-03-16,128.67
2010-03-17,127.76
2010-03-18,128.38
2010-03-19,127.71
2010-03-22,127.98
2010-03-23,129.37
2010-03-24,128.53
2010-03-25,129.24
2010-03-26,129.26
2010-03-29,128.59
2010-03-30,128.77
2010-03-31,128.25
2010-04-01,128.25
2010-04-05,129.35
2010-04-06,128.93
2010-04-07,128.48
2010-04-08,127.61
2010-04-09,128.76
2010-04-12,128.36
2010-04-13,129.03
2010-04-14,131.25
2010-04-15,130.89
2010-04-16,130.63
2010-04-19,132.23
2010-04-20,129.69
2010-04-21,128.99
2010-04-22,129.13
2010-04-23,129.99
2010-04-26,130.73
2010-04-27,128.82
2010-04-28,130.1
2010-04-29,130.46
2010-04-30,129
2010-05-03,129.6
2010-05-04,128.12
2010-05-05,127.46
2010-05-06,123.92
2010-05-07,122.1
2010-05-10,126.27
2010-05-11,126.89
2010-05-12,132.68
2010-05-13,131.48
2010-05-14,131.19
2010-05-17,130.44
2010-05-18,129.95
2010-05-19,128.86
2010-05-20,123.8
2010-05-21,125.42
2010-05-24,124.45
2010-05-25,124.52
2010-05-26,123.23
2010-05-27,126.39
2010-05-28,125.26
2010-06-01,124.34
2010-06-02,127.41
2010-06-03,127.96
2010-06-04,125.28
2010-06-07,124.13
2010-06-08,123.72
2010-06-09,123.9
2010-06-10,127.68
2010-06-11,128.45
2010-06-14,128.5
2010-06-15,129.79
2010-06-16,130.35
2010-06-17,130.98
2010-06-18,130.15
2010-06-21,130.65
2010-06-22,129.3
2010-06-23,130.11
2010-06-24,128.19
2010-06-25,127.12
2010-06-28,128.98
2010-06-29,125.09
2010-06-30,123.48
2010-07-01,122.57
2010-07-02,121.86
2010-07-06,123.46
2010-07-07,127
2010-07-08,127.97
2010-07-09,127.96
2010-07-12,128.67
2010-07-13,130.48
2010-07-14,130.72
2010-07-15,130.72
2010-07-16,128.03
2010-07-19,129.79
2010-07-20,126.55
2010-07-21,125.27
2010-07-22,127.47
2010-07-23,128.38
2010-07-26,128.41
2010-07-27,128.63
2010-07-28,128.43
2010-07-29,128.02
2010-07-30,128.4
2010-08-02,130.76
2010-08-03,130.37
2010-08-04,131.27
2010-08-05,131.83
2010-08-06,130.14
2010-08-09,132
2010-08-10,131.84
2010-08-11,129.83
2010-08-12,128.3
2010-08-13,127.87
2010-08-16,127.77
2010-08-17,128.45
2010-08-18,129.39
2010-08-19,128.9
2010-08-20,127.5
2010-08-23,126.47
2010-08-24,124.9
2010-08-25,125.27
2010-08-26,122.78
2010-08-27,124.73
2010-08-30,123.4
2010-08-31,123.05
2010-09-01,125.77
2010-09-02,125.04
2010-09-03,127.58
2010-09-07,125.95
2010-09-08,126.08
2010-09-09,126.36
2010-09-10,127.99
2010-09-13,129.61
2010-09-14,128.85
2010-09-15,129.43
2010-09-16,129.67
2010-09-17,130.19
2010-09-20,131.79
2010-09-21,131.98
2010-09-22,132.57
2010-09-23,131.67
2010-09-24,134.11
2010-09-27,134.65
2010-09-28,134.89
2010-09-29,135.48
2010-09-30,134.14
2010-10-01,135.64
2010-10-04,135.25
2010-10-05,137.66
2010-10-06,137.84
2010-10-07,138.72
2010-10-08,138.85
2010-10-11,139.66
2010-10-12,139.85
2010-10-13,140.37
2010-10-14,141.5
2010-10-15,141.06
2010-10-18,142.83
2010-10-19,138.03
2010-10-20,139.07
2010-10-21,139.83
2010-10-22,139.67
2010-10-25,139.84
2010-10-26,140.67
2010-10-27,141.43
2010-10-28,140.9
2010-10-29,143.6
2010-11-01,143.32
2010-11-02,143.84
2010-11-03,144.17
2010-11-04,146.79
2010-11-05,146.92
2010-11-08,146.46
2010-11-09,146.14
2010-11-10,146.55
2010-11-11,145.43
2010-11-12,143.74
2010-11-15,143.64
2010-11-16,142.24
2010-11-17,141.95
2010-11-18,144.36
2010-11-19,145.05
2010-11-22,145.39
2010-11-23,143.18
2010-11-24,145.81
2010-11-26,143.9
2010-11-29,142.89
2010-11-30,141.46
2010-12-01,144.41
2010-12-02,145.18
2010-12-03,145.38
2010-12-06,144.99
2010-12-07,144.02
2010-12-08,144.98
2010-12-09,144.3
2010-12-10,144.82
2010-12-13,144.28
2010-12-14,145.82
2010-12-15,144.72
2010-12-16,144.55
2010-12-17,145
2010-12-20,144.51
2010-12-21,145.74
2010-12-22,145.95
2010-12-23,145.89
2010-12-27,145.34
2010-12-28,145.71
2010-12-29,146.52
2010-12-30,146.67
2010-12-31,146.76
2011-01-03,147.48
2011-01-04,147.64
2011-01-05,147.05
2011-01-06,148.66
2011-01-07,147.93
2011-01-10,147.64
2011-01-11,147.28
2011-01-12,149.1
2011-01-13,148.82
2011-01-14,150
2011-01-18,150.65
2011-01-19,155.69
2011-01-20,155.8
2011-01-21,155.5
2011-01-24,159.63
2011-01-25,161.44
2011-01-26,161.04
2011-01-27,161.07
2011-01-28,159.21
2011-01-31,162
2011-02-01,163.56
2011-02-02,163.3
2011-02-03,163.53
2011-02-04,164
2011-02-07,164.82
2011-02-08,166.05
2011-02-09,164.65
2011-02-10,164.09
2011-02-11,163.85
2011-02-14,163.22
2011-02-15,162.84
2011-02-16,163.4
2011-02-17,164.24
2011-02-18,164.84
2011-02-22,161.95
2011-02-23,160.18
2011-02-24,160.77
2011-02-25,162.28
2011-02-28,161.88
2011-03-01,159.97
2011-03-02,160.16
2011-03-03,163.48
2011-03-04,161.83
2011-03-07,159.93
2011-03-08,162.28
2011-03-09,165.86
2011-03-10,162.02
2011-03-11,162.43
2011-03-14,161.39
2011-03-15,159.02
2011-03-16,153
2011-03-17,154.18
2011-03-18,155.89
2011-03-21,157.68
2011-03-22,158
2011-03-23,159.53
2011-03-24,160.04
2011-03-25,162.18
2011-03-28,161.37
2011-03-29,162.88
2011-03-30,163.6
2011-03-31,163.07
2011-04-01,164.27
2011-04-04,164.25
2011-04-05,163.99
2011-04-06,164.04
2011-04-07,164.38
2011-04-08,164.05
2011-04-11,163.95
2011-04-12,163.25
2011-04-13,163.95
2011-04-14,164.97
2011-04-15,166.21
2011-04-18,165.94
2011-04-19,165.4
2011-04-20,164.75
2011-04-21,168.28
2011-04-25,167.67
2011-04-26,168.49
2011-04-27,170.37
2011-04-28,170.78
2011-04-29,170.58
2011-05-02,172.15
2011-05-03,172.87
2011-05-04,170.62
2011-05-05,168.46
2011-05-06,168.89
2011-05-09,169.1
2011-05-10,170.38
2011-05-11,169.5
2011-05-12,172.24
2011-05-13,169.92
2011-05-16,168.86
2011-05-17,170.5
2011-05-18,170.44
2011-05-19,170.59
2011-05-20,170.16
2011-05-23,168.26
2011-05-24,167.99
2011-05-25,167.75
2011-05-26,167.18
2011-05-27,167.5
2011-05-31,168.93
2011-06-01,166.56
2011-06-02,166.09
2011-06-03,165.05
2011-06-06,164.75
2011-06-07,163.69
2011-06-08,164.34
2011-06-09,164.84
2011-06-10,163.18
2011-06-13,163.17
2011-06-14,164.12
2011-06-15,162.33
2011-06-16,162.67
2011-06-17,164.44
